iteration = 71 , objective = -0.265797090246, inputs = [1.0191185002948124, 1.0267170169327624, 0.9916204785295551, 0.9922558421415889], constraints = [-1.0]
iteration = 72 , objective = -0.0798014269456, inputs = [1.010103213857974, 1.0131486880809435, 0.9968410487279687, 0.9961805945587796], constraints = [-1.0]
iteration = 73 , objective = -0.153900340254, inputs = [1.0055932942355992, 1.0063610975855815, 0.9994526520467053, 0.998143961786572], constraints = [-1.0]
iteration = 74 , objective = -0.078461876087, inputs = [1.0033392411159672, 1.0029686669411526, 1.000757928659316, 0.9991252506775831], constraints = [-1.0]
iteration = 75 , objective = -0.641495716612, inputs = [1.0022112923886173, 1.0012710637237843, 1.0014111009742055, 0.9996162965833508], constraints = [-1.0]
iteration = 76 , objective = -0.465893088425, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 77 , objective = -0.465757986246, inputs = [1.0016592670047424, 1.0004327205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 78 , objective = -0.506855125351, inputs = [1.0016542670047424, 1.0004377205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 79 , objective = -0.399817745583, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017386631178702, 0.9998587943383713], constraints = [-1.0]
iteration = 80 , objective = -0.678758254455, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017336631178702, 0.9998637943383714], constraints = [-1.0]
iteration = 81 , objective = -0.465893088425, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 82 , objective = -0.465757986246, inputs = [1.0016592670047424, 1.0004327205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 83 , objective = -0.506855125351, inputs = [1.0016542670047424, 1.0004377205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 84 , objective = -0.399817745583, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017386631178702, 0.9998587943383713], constraints = [-1.0]
iteration = 85 , objective = -0.678758254455, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017336631178702, 0.9998637943383714], constraints = [-1.0]
iteration = 86 , objective = -0.465893088425, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 87 , objective = -0.465757986246, inputs = [1.0016592670047424, 1.0004327205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 88 , objective = -0.506855125351, inputs = [1.0016542670047424, 1.0004377205784858, 1.0017336631178702, 0.9998587943383713], constraints = [1.0]
iteration = 89 , objective = -0.399817745583, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017386631178702, 0.9998587943383713], constraints = [-1.0]
iteration = 90 , objective = -0.678758254455, inputs = [1.0016542670047424, 1.0004327205784858, 1.0017336631178702, 0.9998637943383714], constraints = [-1.0]
iteration = 91 , objective = -0.117951416633, inputs = [0.8510707300985488, 1.9979100492770367, 0.6700382655715154, 1.100249082327656], constraints = [-1.0]
iteration = 92 , objective = -0.140698313294, inputs = [0.926364162238831, 1.4991603645314844, 0.8358896290041483, 1.0500528291942652], constraints = [-1.0]
iteration = 93 , objective = -0.187883017787, inputs = [0.9640107765377265, 1.249786196299536, 0.9188150865455351, 1.0249547704759208], constraints = [-1.0]
iteration = 94 , objective = -0.383735861019, inputs = [0.9828338726054512, 1.1251005104056877, 0.9602773503594514, 1.012405881839668], constraints = [-1.0]
